test_file,test,base_time,dynamo_time,ratio
test_complex.py,ComplexTest.test_divmod,0.12066666666666666,0.573,4.748618784530387
test_complex.py,ComplexTest.test_divmod_zero_division,0.11866666666666667,0.5586666666666668,4.7078651685393265
test_complex.py,ComplexTest.test_floordiv,0.11833333333333333,0.5623333333333334,4.752112676056338
test_complex.py,ComplexTest.test_floordiv_zero_division,0.11933333333333333,0.5616666666666666,4.706703910614525
test_complex.py,ComplexTest.test_mod,0.11966666666666667,0.5663333333333334,4.7325905292479105
test_complex.py,ComplexTest.test_mod_zero_division,0.11766666666666667,0.572,4.861189801699716
test_complex.py,ComplexTest.test_neg,0.121,0.5553333333333333,4.589531680440771
test_complex.py,ComplexTest.test_negated_imaginary_literal,0.11933333333333333,0.5456666666666667,4.572625698324023
test_complex.py,ComplexTest.test_plus_minus_0j,0.121,0.5496666666666667,4.542699724517907
test_complex.py,ComplexTest.test_truediv_zero_division,0.121,0.5696666666666667,4.707988980716253
test_raise.py,TestCause.testCauseSyntax,0.11966666666666666,0.554,4.629526462395544
test_raise.py,TestCause.test_class_cause,0.12133333333333333,0.5536666666666666,4.563186813186813
test_raise.py,TestCause.test_instance_cause,0.11966666666666667,0.55,4.596100278551532
test_raise.py,TestCause.test_invalid_cause,0.11800000000000001,0.5516666666666667,4.675141242937854
test_raise.py,TestContext.test_3118,0.12033333333333333,0.558,4.637119113573408
test_raise.py,TestContext.test_c_exception_context,0.12066666666666666,0.5383333333333333,4.461325966850829
test_raise.py,TestContext.test_class_context_class_raise,0.11866666666666667,0.5486666666666667,4.6235955056179785
test_raise.py,TestContext.test_class_context_instance_raise,0.12133333333333333,0.557,4.590659340659341
test_raise.py,TestContext.test_cycle_broken,0.12033333333333333,0.5486666666666667,4.5595567867036015
test_raise.py,TestContext.test_instance_context_instance_raise,0.11566666666666667,0.5443333333333333,4.706051873198847
test_raise.py,TestContext.test_noraise_finally,0.11766666666666667,0.544,4.623229461756374
test_raise.py,TestContext.test_not_last,0.12033333333333333,0.5593333333333333,4.64819944598338
test_raise.py,TestContext.test_raise_finally,0.11866666666666667,0.552,4.651685393258427
test_raise.py,TestRaise.test_except_reraise,0.12133333333333333,0.5706666666666667,4.7032967032967035
test_raise.py,TestRaise.test_finally_reraise,0.12,0.5603333333333333,4.669444444444445
test_raise.py,TestRaise.test_invalid_reraise,0.12,0.5506666666666667,4.5888888888888895
test_raise.py,TestRaise.test_nested_reraise,0.11966666666666666,0.547,4.571030640668525
